Date,Company,Open,High,Low,Close,Volume
05-09-2025,Google,231.5394894,235.0893604,231.2403398,234.3315277,46588900
08-09-2025,Google,235.0101775,237.6649867,233.2136894,233.582962,32474700
09-09-2025,Google,233.7127041,240.0004043,232.7745373,239.1620483,38061000
10-09-2025,Google,238.4334497,241.1880694,237.3855124,238.7029266,35141100
11-09-2025,Google,239.4115556,241.7769225,235.7886396,239.900589,30599300
12-09-2025,Google,239.9006047,241.6072722,237.5352377,240.3297729,26771600
15-09-2025,Google,244.1822275,251.9170931,244.1822275,251.1186523,58383800
16-09-2025,Google,251.5877267,252.5458434,248.982823,250.6695251,34109700
17-09-2025,Google,250.7294115,251.1086743,245.799056,249.0427094,34108000
18-09-2025,Google,251.1885039,253.4940057,249.3121856,251.5378265,31239500
19-09-2025,Google,252.7554494,255.5000791,251.318259,254.22258,55571400
22-09-2025,Google,253.9331489,255.2805187,249.8112242,252.0368652,32290500
23-09-2025,Google,252.5458586,253.8632883,249.9908602,251.1685638,26628000
24-09-2025,Google,251.1685567,251.8572117,245.9587492,246.6573792,28201000
25-09-2025,Google,243.9227127,246.0086427,240.2698717,245.3099976,31020400
26-09-2025,Google,246.587527,248.9329288,245.489669,246.058548,18503200
29-09-2025,Google,247.3660077,250.6595514,242.2959261,243.5734253,32505800
30-09-2025,Google,242.3358324,242.8148908,238.7827869,242.6252747,34724300
01-10-2025,Google,240.2798481,245.8190128,238.1440279,244.4217377,31658200
02-10-2025,Google,244.6712511,246.328013,241.8268259,245.2102051,25483300
03-10-2025,Google,244.0125742,245.8190372,241.1880986,244.8708954,30249600
06-10-2025,Google,244.3020029,250.8292404,244.1023965,249.9409637,28894700
07-10-2025,Google,247.7851833,249.9509439,245.0405535,245.2800751,23181300
08-10-2025,Google,244.4816358,245.5295731,243.3438627,244.1422882,21307100
09-10-2025,Google,243.9925955,244.2820225,238.6829772,241.0583344,27892100
10-10-2025,Google,240.958527,243.6133362,235.3794468,236.1080322,33180300
13-10-2025,Google,239.7409246,244.0225404,239.241901,243.6732178,24995000
14-10-2025,Google,240.7589274,246.6374249,240.0403321,244.9706879,22111600
15-10-2025,Google,246.7671626,251.6176724,245.5096286,250.5397797,27007700
16-10-2025,Google,251.2783406,256.4581926,249.6116036,250.9689484,27997200
17-10-2025,Google,250.2703105,253.7235605,247.3260743,252.8053589,29671600
20-10-2025,Google,254.192658,256.8274869,253.7335495,256.0490112,22350200
21-10-2025,Google,254.2425422,254.3822682,243.673211,249.9709015,47312100
22-10-2025,Google,253.8732762,255.8593805,248.8031943,251.1985168,35029400
23-10-2025,Google,252.4859741,254.5419489,251.3581911,252.5857849,19901400
24-10-2025,Google,256.0789406,261.1689875,254.8214218,259.4124451,28655100
27-10-2025,Google,264.3028792,269.6124978,263.7639251,268.7441711,35235200
28-10-2025,Google,269.1633282,270.2013057,265.9795554,266.9476624,29738600
29-10-2025,Google,267.2271246,274.8022988,267.1472942,274.0338135,43580300
30-10-2025,Google,291.0206023,291.0206023,279.5131183,280.9303589,74876000
31-10-2025,Google,282.6569441,285.4415043,276.4890196,280.6408997,39267900
03-11-2025,Google,281.6289534,284.9724176,279.2535961,283.1659546,29786000
04-11-2025,Google,276.2095506,280.7207128,275.7205172,276.9980164,30078400
05-11-2025,Google,278.3254122,285.8606866,276.7984012,283.7547913,31010300
06-11-2025,Google,284.7727932,287.7869152,280.5910034,284.1939392,37173600
07-11-2025,Google,282.6569436,283.2258378,274.6526159,278.2854919,34479600
10-11-2025,Google,283.8645774,290.2320925,282.3075959,289.5334778,29557300
